省,省确诊,省治愈,省死亡,日期
重庆市,553,235,5,2020/2/17
江苏省,629,280,0,2020/2/17
河南省,1257,521,19,2020/2/17
湖南省,1007,526,4,2020/2/17
山西省,130,57,0,2020/2/17
河北省,302,130,4,2020/2/17
吉林省,89,36,1,2020/2/17
江西省,933,310,1,2020/2/17
新疆维吾尔自治区,76,12,1,2020/2/17
安徽省,982,337,6,2020/2/17
福建省,292,93,0,2020/2/17
青海省,18,15,0,2020/2/17
湖北省,61682,9308,1921,2020/2/18
广东省,1331,606,5,2020/2/18
上海市,333,186,2,2020/2/18
黑龙江省,470,120,12,2020/2/18
北京市,393,147,4,2020/2/18
陕西省,242,102,0,2020/2/18
四川省,514,186,3,2020/2/18
辽宁省,121,55,1,2020/2/18
贵州省,146,70,2,2020/2/18
广西壮族自治区,244,86,2,2020/2/18
浙江省,1174,604,0,2020/2/18
山东省,544,231,3,2020/2/18
云南省,173,60,1,2020/2/18
海南省,163,84,4,2020/2/18
内蒙古自治区,75,10,0,2020/2/18
宁夏回族自治区,71,42,0,2020/2/18
甘肃省,91,63,2,2020/2/18
天津市,128,54,3,2020/2/18
重庆市,555,254,5,2020/2/18
江苏省,631,318,0,2020/2/18
河南省,1262,573,19,2020/2/18
湖南省,1008,561,4,2020/2/18
山西省,131,62,0,2020/2/18
河北省,306,143,4,2020/2/18
吉林省,90,37,1,2020/2/18
江西省,934,362,1,2020/2/18
新疆维吾尔自治区,76,20,1,2020/2/18
安徽省,986,401,6,2020/2/18
福建省,293,112,0,2020/2/18
青海省,18,16,0,2020/2/18
湖北省,62031,10504,2029,2020/2/19
广东省,1332,642,5,2020/2/19
上海市,334,199,2,2020/2/19
黑龙江省,476,136,12,2020/2/19
北京市,395,153,4,2020/2/19
陕西省,245,118,1,2020/2/19
四川省,520,217,3,2020/2/19
辽宁省,121,59,1,2020/2/19
贵州省,146,72,2,2020/2/19
广西壮族自治区,245,90,2,2020/2/19
浙江省,1175,633,1,2020/2/19
山东省,546,254,4,2020/2/19
云南省,173,79,1,2020/2/19
海南省,168,86,4,2020/2/19
内蒙古自治区,75,16,0,2020/2/19
宁夏回族自治区,71,44,0,2020/2/19
甘肃省,91,66,2,2020/2/19
天津市,131,59,3,2020/2/19
重庆市,560,274,5,2020/2/19
江苏省,631,356,0,2020/2/19
河南省,1265,635,19,2020/2/19
湖南省,1010,634,4,2020/2/19
山西省,131,73,0,2020/2/19
河北省,307,169,5,2020/2/19
吉林省,91,43,1,2020/2/19
江西省,934,433,1,2020/2/19
安徽省,987,474,6,2020/2/19
福建省,293,126,1,2020/2/19
湖北省,62662,11881,2144,2020/2/20
广东省,1333,690,5,2020/2/20
上海市,334,211,2,2020/2/20
黑龙江省,479,175,12,2020/2/20
北京市,396,169,4,2020/2/20
陕西省,245,134,1,2020/2/20
四川省,525,231,3,2020/2/20
辽宁省,121,61,1,2020/2/20
贵州省,146,77,2,2020/2/20
广西壮族自治区,246,97,2,2020/2/20
浙江省,1203,679,1,2020/2/20
山东省,749,281,4,2020/2/20
云南省,174,96,2,2020/2/20
海南省,168,95,4,2020/2/20
内蒙古自治区,75,17,0,2020/2/20
宁夏回族自治区,71,48,0,2020/2/20
甘肃省,91,71,2,2020/2/20
天津市,132,62,3,2020/2/20
重庆市,567,299,6,2020/2/20
江苏省,631,373,0,2020/2/20
河南省,1267,735,19,2020/2/20
湖南省,1011,660,4,2020/2/20
山西省,132,76,0,2020/2/20
河北省,308,184,5,2020/2/20
吉林省,91,45,1,2020/2/20
江西省,934,489,1,2020/2/20
新疆维吾尔自治区,76,22,1,2020/2/20
安徽省,988,539,6,2020/2/20
福建省,293,149,1,2020/2/20
青海省,18,18,0,2020/2/20
湖北省,63454,13690,2250,2020/2/21
广东省,1339,728,5,2020/2/21
上海市,335,227,3,2020/2/21
黑龙江省,479,204,12,2020/2/21
北京市,399,178,4,2020/2/21
陕西省,245,149,1,2020/2/21
四川省,526,250,3,2020/2/21
辽宁省,121,66,1,2020/2/21
贵州省,146,90,2,2020/2/21
广西壮族自治区,249,104,2,2020/2/21
浙江省,1205,719,1,2020/2/21
山东省,750,302,4,2020/2/21
云南省,174,107,2,2020/2/21
海南省,168,104,4,2020/2/21
内蒙古自治区,75,22,0,2020/2/21
甘肃省,91,76,2,2020/2/21
天津市,135,65,3,2020/2/21
重庆市,572,316,6,2020/2/21
江苏省,631,401,0,2020/2/21
河南省,1270,824,19,2020/2/21
湖南省,1013,692,4,2020/2/21
山西省,132,79,0,2020/2/21
河北省,309,203,6,2020/2/21
吉林省,91,52,1,2020/2/21
江西省,934,555,1,2020/2/21
新疆维吾尔自治区,76,25,2,2020/2/21
安徽省,989,597,6,2020/2/21
福建省,293,160,1,2020/2/21
湖北省,64084,15343,2346,2020/2/22
广东省,1342,755,6,2020/2/22
上海市,335,249,3,2020/2/22
黑龙江省,480,218,12,2020/2/22
北京市,399,189,4,2020/2/22
陕西省,245,163,1,2020/2/22
四川省,526,261,3,2020/2/22
辽宁省,121,81,1,2020/2/22
贵州省,146,102,2,2020/2/22
广西壮族自治区,249,106,2,2020/2/22
浙江省,1205,760,1,2020/2/22
山东省,754,321,4,2020/2/22
云南省,174,115,2,2020/2/22
海南省,168,106,4,2020/2/22
内蒙古自治区,75,27,0,2020/2/22
宁夏回族自治区,71,56,0,2020/2/22
甘肃省,91,76,2,2020/2/22
天津市,135,81,3,2020/2/22
重庆市,573,328,6,2020/2/22
江苏省,631,418,0,2020/2/22
河南省,1271,868,19,2020/2/22
湖南省,1016,714,4,2020/2/22
山西省,132,89,0,2020/2/22
河北省,311,219,6,2020/2/22
吉林省,91,54,1,2020/2/22
江西省,934,613,1,2020/2/22
新疆维吾尔自治区,76,25,2,2020/2/22
安徽省,989,637,6,2020/2/22
福建省,293,170,1,2020/2/22
青海省,18,18,0,2020/2/22
西藏自治区,1,1,0,2020/2/22
湖北省,64287,16748,2495,2020/2/23
广东省,1345,786,6,2020/2/23
上海市,335,261,3,2020/2/23
黑龙江省,480,224,12,2020/2/23
北京市,399,198,4,2020/2/23
陕西省,245,164,1,2020/2/23
四川省,527,269,3,2020/2/23
辽宁省,121,80,1,2020/2/23
广西壮族自治区,251,112,2,2020/2/23
浙江省,1205,782,1,2020/2/23
山东省,755,343,5,2020/2/23
云南省,174,128,2,2020/2/23
海南省,168,106,5,2020/2/23
内蒙古自治区,75,33,0,2020/2/23
宁夏回族自治区,71,58,0,2020/2/23
甘肃省,91,78,2,2020/2/23
重庆市,575,335,6,2020/2/23
江苏省,631,447,0,2020/2/23
河南省,1271,940,19,2020/2/23
湖南省,1016,727,4,2020/2/23
山西省,132,88,0,2020/2/23
河北省,311,230,6,2020/2/23
吉林省,93,60,1,2020/2/23
江西省,934,645,1,2020/2/23
新疆维吾尔自治区,76,28,2,2020/2/23
安徽省,989,663,6,2020/2/23
福建省,293,183,1,2020/2/23
湖北省,64786,18946,2563,2020/2/24
广东省,1347,822,7,2020/2/24
上海市,336,268,3,2020/2/24
黑龙江省,480,241,12,2020/2/24
北京市,400,215,4,2020/2/24
陕西省,245,185,1,2020/2/24
四川省,529,288,3,2020/2/24
辽宁省,121,83,1,2020/2/24
贵州省,146,104,2,2020/2/24
广西壮族自治区,252,134,2,2020/2/24
浙江省,1205,808,1,2020/2/24
山东省,756,355,6,2020/2/24
云南省,174,129,2,2020/2/24
海南省,168,124,5,2020/2/24
内蒙古自治区,75,34,0,2020/2/24
宁夏回族自治区,71,61,0,2020/2/24
甘肃省,91,80,2,2020/2/24
天津市,135,87,3,2020/2/24
重庆市,576,349,6,2020/2/24
江苏省,631,458,0,2020/2/24
河南省,1271,1002,19,2020/2/24
湖南省,1016,766,4,2020/2/24
山西省,133,96,0,2020/2/24
河北省,311,248,6,2020/2/24
吉林省,93,62,1,2020/2/24
江西省,934,682,1,2020/2/24
新疆维吾尔自治区,76,30,2,2020/2/24
安徽省,989,712,6,2020/2/24
福建省,294,199,1,2020/2/24
湖北省,65187,20957,2615,2020/2/25
广东省,1347,851,7,2020/2/25
上海市,336,272,3,2020/2/25
黑龙江省,480,249,12,2020/2/25
北京市,400,235,4,2020/2/25
陕西省,245,189,1,2020/2/25
四川省,531,307,3,2020/2/25
辽宁省,121,88,1,2020/2/25
广西壮族自治区,252,144,2,2020/2/25
浙江省,1205,867,1,2020/2/25
山东省,756,377,6,2020/2/25
云南省,174,144,2,2020/2/25
海南省,168,129,5,2020/2/25
内蒙古自治区,75,37,0,2020/2/25
宁夏回族自治区,71,65,0,2020/2/25
天津市,135,96,3,2020/2/25
重庆市,576,373,6,2020/2/25
江苏省,631,478,0,2020/2/25
河南省,1271,1033,19,2020/2/25
湖南省,1016,783,4,2020/2/25
山西省,133,102,0,2020/2/25
河北省,312,261,6,2020/2/25
吉林省,93,63,1,2020/2/25
江西省,934,719,1,2020/2/25
安徽省,989,744,6,2020/2/25
福建省,294,218,1,2020/2/25
湖北省,65596,23383,2641,2020/2/26
广东省,1347,890,7,2020/2/26
上海市,337,276,3,2020/2/26
黑龙江省,480,270,13,2020/2/26
北京市,410,248,5,2020/2/26
陕西省,245,195,1,2020/2/26
四川省,534,321,3,2020/2/26
辽宁省,121,92,1,2020/2/26
贵州省,146,112,2,2020/2/26
广西壮族自治区,252,161,2,2020/2/26
浙江省,1205,932,1,2020/2/26
山东省,756,384,6,2020/2/26
云南省,174,150,2,2020/2/26
海南省,168,131,5,2020/2/26
内蒙古自治区,75,39,0,2020/2/26
宁夏回族自治区,72,68,0,2020/2/26
甘肃省,91,81,2,2020/2/26
重庆市,576,384,6,2020/2/26
江苏省,631,496,0,2020/2/26
河南省,1272,1062,20,2020/2/26
湖南省,1017,804,4,2020/2/26
山西省,133,104,0,2020/2/26
河北省,317,274,6,2020/2/26
吉林省,93,67,1,2020/2/26
江西省,934,754,1,2020/2/26
新疆维吾尔自治区,76,43,2,2020/2/26
安徽省,989,775,6,2020/2/26
福建省,296,228,1,2020/2/26
湖北省,65914,26403,2682,2020/2/27
广东省,1348,935,7,2020/2/27
上海市,337,279,3,2020/2/27
黑龙江省,480,283,13,2020/2/27
北京市,410,257,7,2020/2/27
陕西省,245,199,1,2020/2/27
四川省,538,338,3,2020/2/27
辽宁省,121,93,1,2020/2/27
广西壮族自治区,252,168,2,2020/2/27
浙江省,1205,975,1,2020/2/27
山东省,756,405,6,2020/2/27
云南省,174,156,2,2020/2/27
海南省,168,133,5,2020/2/27
内蒙古自治区,75,45,0,2020/2/27
甘肃省,91,82,2,2020/2/27
天津市,136,102,3,2020/2/27
重庆市,576,402,6,2020/2/27
江苏省,631,515,0,2020/2/27
河南省,1272,1112,20,2020/2/27
湖南省,1017,830,4,2020/2/27
山西省,133,109,0,2020/2/27
河北省,318,277,6,2020/2/27
吉林省,93,73,1,2020/2/27
江西省,935,790,1,2020/2/27
新疆维吾尔自治区,76,52,3,2020/2/27
安徽省,990,821,6,2020/2/27
福建省,296,235,1,2020/2/27
湖北省,66337,28993,2727,2020/2/28
广东省,1349,976,7,2020/2/28
上海市,337,287,3,2020/2/28
黑龙江省,480,301,13,2020/2/28
北京市,411,271,8,2020/2/28
陕西省,245,207,1,2020/2/28
四川省,538,351,3,2020/2/28
辽宁省,121,95,1,2020/2/28
广西壮族自治区,252,176,2,2020/2/28
浙江省,1205,1016,1,2020/2/28
山东省,756,418,6,2020/2/28
云南省,174,157,2,2020/2/28
海南省,168,147,5,2020/2/28
内蒙古自治区,75,49,0,2020/2/28
宁夏回族自治区,73,69,0,2020/2/28
天津市,136,109,3,2020/2/28
重庆市,576,422,6,2020/2/28
江苏省,631,523,0,2020/2/28
河南省,1272,1170,21,2020/2/28
湖南省,1018,844,4,2020/2/28
山西省,133,113,0,2020/2/28
河北省,318,281,6,2020/2/28
吉林省,93,75,1,2020/2/28
江西省,935,811,1,2020/2/28
新疆维吾尔自治区,76,62,3,2020/2/28
安徽省,990,868,6,2020/2/28
福建省,296,242,1,2020/2/28
湖北省,66907,31536,2761,2020/2/29
广东省,1349,1013,7,2020/2/29
上海市,337,290,3,2020/2/29
黑龙江省,480,342,13,2020/2/29
北京市,413,276,8,2020/2/29
陕西省,245,208,1,2020/2/29
四川省,538,365,3,2020/2/29
辽宁省,122,103,1,2020/2/29
广西壮族自治区,252,181,2,2020/2/29
浙江省,1205,1046,1,2020/2/29
山东省,758,443,6,2020/2/29
云南省,174,163,2,2020/2/29
海南省,168,149,5,2020/2/29
内蒙古自治区,75,52,0,2020/2/29
天津市,136,111,3,2020/2/29
重庆市,576,442,6,2020/2/29
江苏省,631,536,0,2020/2/29
河南省,1272,1197,22,2020/2/29
湖南省,1018,866,4,2020/2/29
山西省,133,115,0,2020/2/29
河北省,318,291,6,2020/2/29
吉林省,93,78,1,2020/2/29
江西省,935,831,1,2020/2/29
新疆维吾尔自治区,76,64,3,2020/2/29
安徽省,990,873,6,2020/2/29
福建省,296,247,1,2020/2/29
湖北省,67103,33762,2803,2020/3/1
广东省,1350,1051,7,2020/3/1
上海市,337,292,3,2020/3/1
黑龙江省,480,356,13,2020/3/1
北京市,414,282,8,2020/3/1
陕西省,245,216,1,2020/3/1
四川省,538,383,3,2020/3/1
辽宁省,122,103,1,2020/3/1
贵州省,146,114,2,2020/3/1
广西壮族自治区,252,192,2,2020/3/1
浙江省,1206,1069,1,2020/3/1
山东省,758,460,6,2020/3/1
云南省,174,168,2,2020/3/1
内蒙古自治区,75,54,0,2020/3/1
宁夏回族自治区,74,69,0,2020/3/1
甘肃省,91,84,2,2020/3/1
重庆市,576,450,6,2020/3/1
江苏省,631,543,0,2020/3/1
河南省,1272,1205,22,2020/3/1
湖南省,1018,887,4,2020/3/1
山西省,133,117,0,2020/3/1
河北省,318,296,6,2020/3/1
吉林省,93,79,1,2020/3/1
江西省,935,850,1,2020/3/1
安徽省,990,889,6,2020/3/1
福建省,296,255,1,2020/3/1
湖北省,67217,36208,2835,2020/3/2
广东省,1350,1101,7,2020/3/2
上海市,338,294,3,2020/3/2
黑龙江省,480,361,13,2020/3/2
北京市,414,288,8,2020/3/2
四川省,538,394,3,2020/3/2
辽宁省,125,105,1,2020/3/2
广西壮族自治区,252,202,2,2020/3/2
浙江省,1213,1093,1,2020/3/2
山东省,758,511,6,2020/3/2
云南省,174,169,2,2020/3/2
海南省,168,152,5,2020/3/2
内蒙古自治区,75,59,1,2020/3/2
甘肃省,91,85,2,2020/3/2
天津市,136,124,3,2020/3/2
重庆市,576,469,6,2020/3/2
江苏省,631,562,0,2020/3/2
河南省,1272,1231,22,2020/3/2
湖南省,1018,902,4,2020/3/2
山西省,133,120,0,2020/3/2
河北省,318,300,6,2020/3/2
吉林省,93,83,1,2020/3/2
江西省,935,870,1,2020/3/2
新疆维吾尔自治区,76,68,3,2020/3/2
安徽省,990,928,6,2020/3/2
福建省,296,259,1,2020/3/2
湖北省,67332,38556,2871,2020/3/3
广东省,1350,1133,7,2020/3/3
上海市,338,298,3,2020/3/3
黑龙江省,480,372,13,2020/3/3
北京市,417,294,8,2020/3/3
陕西省,245,218,1,2020/3/3
四川省,538,402,3,2020/3/3
辽宁省,125,106,1,2020/3/3
广西壮族自治区,252,210,2,2020/3/3
浙江省,1213,1114,1,2020/3/3
山东省,758,515,6,2020/3/3
海南省,168,158,5,2020/3/3
内蒙古自治区,75,61,1,2020/3/3
宁夏回族自治区,75,69,0,2020/3/3
甘肃省,91,86,2,2020/3/3
天津市,136,124,3,2020/3/3
重庆市,576,490,6,2020/3/3
江苏省,631,569,0,2020/3/3
河南省,1272,1234,22,2020/3/3
湖南省,1018,913,4,2020/3/3
山西省,133,124,0,2020/3/3
河北省,318,301,6,2020/3/3
吉林省,93,86,1,2020/3/3
江西省,935,884,1,2020/3/3
安徽省,990,956,6,2020/3/3
福建省,296,263,1,2020/3/3
湖北省,67466,40574,2902,2020/3/4
广东省,1351,1181,7,2020/3/4
上海市,339,303,3,2020/3/4
黑龙江省,481,379,13,2020/3/4
北京市,418,297,8,2020/3/4
陕西省,245,224,1,2020/3/4
四川省,539,423,3,2020/3/4
广西壮族自治区,252,214,2,2020/3/4
浙江省,1215,1124,1,2020/3/4
山东省,758,577,6,2020/3/4
海南省,168,158,6,2020/3/4
内蒙古自治区,75,64,1,2020/3/4
甘肃省,91,87,2,2020/3/4
天津市,136,128,3,2020/3/4
重庆市,576,502,6,2020/3/4
江苏省,631,580,0,2020/3/4
河南省,1272,1239,22,2020/3/4
湖南省,1018,938,4,2020/3/4
河北省,318,303,6,2020/3/4
吉林省,93,87,1,2020/3/4
江西省,935,901,1,2020/3/4
新疆维吾尔自治区,76,70,3,2020/3/4
安徽省,990,970,6,2020/3/4
福建省,296,277,1,2020/3/4
湖北省,67592,41988,2931,2020/3/5
广东省,1352,1216,7,2020/3/5
上海市,342,306,3,2020/3/5
黑龙江省,481,383,13,2020/3/5
北京市,422,299,8,2020/3/5
陕西省,245,226,1,2020/3/5
四川省,539,442,3,2020/3/5
广西壮族自治区,252,217,2,2020/3/5
浙江省,1215,1147,1,2020/3/5
山东省,758,618,6,2020/3/5
云南省,174,170,2,2020/3/5
内蒙古自治区,75,65,1,2020/3/5
宁夏回族自治区,75,71,0,2020/3/5
甘肃省,102,87,2,2020/3/5
重庆市,576,513,6,2020/3/5
江苏省,631,594,0,2020/3/5
河南省,1272,1243,22,2020/3/5
湖南省,1018,955,4,2020/3/5
山西省,133,126,0,2020/3/5
河北省,318,305,6,2020/3/5
吉林省,93,90,1,2020/3/5
江西省,935,908,1,2020/3/5
新疆维吾尔自治区,76,71,3,2020/3/5
安徽省,990,979,6,2020/3/5
福建省,296,284,1,2020/3/5
湖北省,67666,43500,2959,2020/3/6
广东省,1352,1237,7,2020/3/6
上海市,342,313,3,2020/3/6
黑龙江省,481,403,13,2020/3/6
北京市,426,303,8,2020/3/6
四川省,539,448,3,2020/3/6
贵州省,146,115,2,2020/3/6
广西壮族自治区,252,219,2,2020/3/6
浙江省,1215,1154,1,2020/3/6
山东省,758,625,6,2020/3/6
内蒙古自治区,75,67,1,2020/3/6
甘肃省,119,87,2,2020/3/6
重庆市,576,520,6,2020/3/6
江苏省,631,602,0,2020/3/6
河南省,1272,1244,22,2020/3/6
湖南省,1018,960,4,2020/3/6
江西省,935,916,1,2020/3/6
新疆维吾尔自治区,76,72,3,2020/3/6
福建省,296,291,1,2020/3/6
湖北省,67707,45222,2986,2020/3/7
广东省,1352,1252,7,2020/3/7
上海市,342,314,3,2020/3/7
黑龙江省,481,409,13,2020/3/7
北京市,428,308,8,2020/3/7
四川省,539,464,3,2020/3/7
辽宁省,125,109,1,2020/3/7
贵州省,146,117,2,2020/3/7
广西壮族自治区,252,223,2,2020/3/7
浙江省,1215,1161,1,2020/3/7
山东省,758,642,6,2020/3/7
海南省,168,159,6,2020/3/7
内蒙古自治区,75,70,1,2020/3/7
甘肃省,120,87,2,2020/3/7
重庆市,576,526,6,2020/3/7
江苏省,631,612,0,2020/3/7
河南省,1272,1247,22,2020/3/7
湖南省,1018,968,4,2020/3/7
河北省,318,307,6,2020/3/7
江西省,935,919,1,2020/3/7
新疆维吾尔自治区,76,73,3,2020/3/7
安徽省,990,984,6,2020/3/7
福建省,296,295,1,2020/3/7
湖北省,67743,46487,3008,2020/3/8
广东省,1352,1260,8,2020/3/8
上海市,342,315,3,2020/3/8
黑龙江省,481,423,13,2020/3/8
北京市,428,315,8,2020/3/8
陕西省,245,227,1,2020/3/8
四川省,539,466,3,2020/3/8
贵州省,146,123,2,2020/3/8
广西壮族自治区,252,230,2,2020/3/8
浙江省,1215,1176,1,2020/3/8
山东省,758,700,6,2020/3/8
甘肃省,124,87,2,2020/3/8
天津市,136,130,3,2020/3/8
重庆市,576,528,6,2020/3/8
江苏省,631,621,0,2020/3/8
湖南省,1018,979,4,2020/3/8
山西省,133,127,0,2020/3/8
江西省,935,923,1,2020/3/8
湖北省,67760,47741,3024,2020/3/9
广东省,1353,1274,8,2020/3/9
上海市,344,319,3,2020/3/9
黑龙江省,481,434,13,2020/3/9
北京市,429,320,8,2020/3/9
陕西省,245,228,1,2020/3/9
四川省,539,478,3,2020/3/9
辽宁省,125,111,1,2020/3/9
贵州省,146,129,2,2020/3/9
广西壮族自治区,252,234,2,2020/3/9
浙江省,1215,1191,1,2020/3/9
山东省,758,719,6,2020/3/9
甘肃省,124,88,2,2020/3/9
天津市,136,131,3,2020/3/9
重庆市,576,542,6,2020/3/9
江苏省,631,627,0,2020/3/9
湖南省,1018,990,4,2020/3/9
山西省,133,128,0,2020/3/9
吉林省,93,91,1,2020/3/9
江西省,935,927,1,2020/3/9
湖北省,67773,49134,3046,2020/3/10
广东省,1356,1282,8,2020/3/10
上海市,344,320,3,2020/3/10
黑龙江省,482,436,13,2020/3/10
北京市,435,326,8,2020/3/10
陕西省,245,232,1,2020/3/10
四川省,539,485,3,2020/3/10
贵州省,146,133,2,2020/3/10
广西壮族自治区,252,238,2,2020/3/10
浙江省,1215,1195,1,2020/3/10
山东省,760,726,6,2020/3/10
内蒙古自治区,75,71,1,2020/3/10
宁夏回族自治区,75,72,0,2020/3/10
甘肃省,125,88,2,2020/3/10
重庆市,576,549,6,2020/3/10
河南省,1273,1249,22,2020/3/10
湖南省,1018,995,4,2020/3/10
山西省,133,131,0,2020/3/10
江西省,935,932,1,2020/3/10
湖北省,67781,50318,3056,2020/3/11
广东省,1356,1289,8,2020/3/11
上海市,344,321,3,2020/3/11
黑龙江省,482,441,13,2020/3/11
北京市,435,334,8,2020/3/11
陕西省,245,232,2,2020/3/11
四川省,539,498,3,2020/3/11
辽宁省,125,112,1,2020/3/11
贵州省,146,137,2,2020/3/11
广西壮族自治区,252,241,2,2020/3/11
浙江省,1215,1197,1,2020/3/11
山东省,760,734,6,2020/3/11
海南省,168,160,6,2020/3/11
甘肃省,127,88,2,2020/3/11
天津市,136,132,3,2020/3/11
重庆市,576,554,6,2020/3/11
江苏省,631,629,0,2020/3/11
河南省,1273,1249,22,2020/3/11
湖南省,1018,999,4,2020/3/11
山西省,133,132,0,2020/3/11
河北省,318,308,6,2020/3/11
吉林省,93,92,1,2020/3/11
江西省,935,934,1,2020/3/11
湖北省,67786,51553,3062,2020/3/12
广东省,1356,1296,8,2020/3/12
上海市,346,324,3,2020/3/12
黑龙江省,482,446,13,2020/3/12
北京市,436,342,8,2020/3/12
四川省,539,503,3,2020/3/12
贵州省,146,140,2,2020/3/12
广西壮族自治区,252,243,2,2020/3/12
山东省,760,739,7,2020/3/12
重庆市,576,564,6,2020/3/12
江苏省,631,630,0,2020/3/12
湖南省,1018,1005,4,2020/3/12
山西省,133,133,0,2020/3/12
河北省,318,310,6,2020/3/12
湖北省,67790,52960,3075,2020/3/13
广东省,1356,1299,8,2020/3/13
上海市,352,324,3,2020/3/13
黑龙江省,482,447,13,2020/3/13
北京市,437,349,8,2020/3/13
四川省,539,511,3,2020/3/13
辽宁省,125,113,1,2020/3/13
贵州省,146,143,2,2020/3/13
浙江省,1227,1211,1,2020/3/13
山东省,760,741,7,2020/3/13
宁夏回族自治区,75,73,0,2020/3/13
甘肃省,129,89,2,2020/3/13
重庆市,576,566,6,2020/3/13
河南省,1273,1250,22,2020/3/13
湖南省,1018,1014,4,2020/3/13
湖北省,67794,54288,3085,2020/3/14
广东省,1358,1304,8,2020/3/14
上海市,353,324,3,2020/3/14
黑龙江省,482,453,13,2020/3/14
北京市,442,353,8,2020/3/14
四川省,539,516,3,2020/3/14
辽宁省,125,114,1,2020/3/14
浙江省,1231,1211,1,2020/3/14
云南省,174,172,2,2020/3/14
甘肃省,132,91,2,2020/3/14
天津市,136,133,3,2020/3/14
重庆市,576,570,6,2020/3/14
江苏省,631,631,0,2020/3/14
湖北省,67798,55094,3099,2020/3/15
广东省,1361,1306,8,2020/3/15
上海市,355,325,3,2020/3/15
黑龙江省,482,454,13,2020/3/15
北京市,452,360,8,2020/3/15
陕西省,245,233,2,2020/3/15
贵州省,146,144,2,2020/3/15
广西壮族自治区,252,247,2,2020/3/15
浙江省,1231,1215,1,2020/3/15
山东省,760,746,7,2020/3/15
云南省,175,172,2,2020/3/15
内蒙古自治区,75,72,1,2020/3/15
宁夏回族自治区,75,75,0,2020/3/15
甘肃省,133,91,2,2020/3/15
湖北省,67799,56003,3111,2020/3/16
广东省,1364,1307,8,2020/3/16
上海市,358,325,3,2020/3/16
黑龙江省,482,456,13,2020/3/16
北京市,456,369,8,2020/3/16
陕西省,246,236,3,2020/3/16
四川省,540,520,3,2020/3/16
辽宁省,125,120,1,2020/3/16
贵州省,147,144,2,2020/3/16
广西壮族自治区,253,248,2,2020/3/16
浙江省,1232,1216,1,2020/3/16
山东省,761,746,7,2020/3/16
云南省,176,172,2,2020/3/16
海南省,168,161,6,2020/3/16
内蒙古自治区,75,73,1,2020/3/16
湖北省,67800,56886,3122,2020/3/17
广东省,1370,1313,8,2020/3/17
上海市,361,326,3,2020/3/17
黑龙江省,482,463,13,2020/3/17
北京市,469,378,8,2020/3/17
陕西省,246,237,3,2020/3/17
四川省,540,525,3,2020/3/17
辽宁省,125,122,1,2020/3/17
贵州省,146,144,2,2020/3/17
广西壮族自治区,253,250,2,2020/3/17
湖北省,67800,56927,3122,2020/3/18
吉林省,4,0,0,2020/1/25
青海省,1,0,0,2020/1/25
青海省,6,0,0,2020/1/28
贵州省,29,2,0,2020/1/31
西藏自治区,1,0,0,2020/2/2
宁夏回族自治区,34,1,0,2020/2/4
西藏自治区,1,0,0,2020/2/4
西藏自治区,1,0,0,2020/2/5
青海省,18,3,0,2020/2/6
西藏自治区,1,0,0,2020/2/6
青海省,18,3,0,2020/2/7
西藏自治区,1,0,0,2020/2/7
青海省,18,3,0,2020/2/8
西藏自治区,1,0,0,2020/2/8
青海省,18,3,0,2020/2/9
西藏自治区,1,0,0,2020/2/9
内蒙古自治区,58,5,0,2020/2/10
西藏自治区,1,0,0,2020/2/10
青海省,18,11,0,2020/2/13
西藏自治区,1,1,0,2020/2/13
西藏自治区,1,1,0,2020/2/14
宁夏回族自治区,70,33,0,2020/2/15
青海省,18,13,0,2020/2/15
西藏自治区,1,1,0,2020/2/15
青海省,18,13,0,2020/2/16
西藏自治区,1,1,0,2020/2/16
西藏自治区,1,1,0,2020/2/17
西藏自治区,1,1,0,2020/2/18
新疆维吾尔自治区,76,20,1,2020/2/19
青海省,18,16,0,2020/2/19
西藏自治区,1,1,0,2020/2/19
西藏自治区,1,1,0,2020/2/20
宁夏回族自治区,71,48,0,2020/2/21
青海省,18,18,0,2020/2/21
西藏自治区,1,1,0,2020/2/21
贵州省,146,102,2,2020/2/23
天津市,135,81,3,2020/2/23
青海省,18,18,0,2020/2/23
西藏自治区,1,1,0,2020/2/23
青海省,18,18,0,2020/2/24
西藏自治区,1,1,0,2020/2/24
贵州省,146,104,2,2020/2/25
甘肃省,91,80,2,2020/2/25
新疆维吾尔自治区,76,30,2,2020/2/25
青海省,18,18,0,2020/2/25
西藏自治区,1,1,0,2020/2/25
天津市,135,96,3,2020/2/26
青海省,18,18,0,2020/2/26
西藏自治区,1,1,0,2020/2/26
贵州省,146,112,2,2020/2/27
宁夏回族自治区,72,68,0,2020/2/27
青海省,18,18,0,2020/2/27
西藏自治区,1,1,0,2020/2/27
贵州省,146,112,2,2020/2/28
甘肃省,91,82,2,2020/2/28
青海省,18,18,0,2020/2/28
西藏自治区,1,1,0,2020/2/28
贵州省,146,112,2,2020/2/29
宁夏回族自治区,73,69,0,2020/2/29
甘肃省,91,82,2,2020/2/29
青海省,18,18,0,2020/2/29
西藏自治区,1,1,0,2020/2/29
海南省,168,149,5,2020/3/1
天津市,136,111,3,2020/3/1
新疆维吾尔自治区,76,64,3,2020/3/1
青海省,18,18,0,2020/3/1
西藏自治区,1,1,0,2020/3/1
陕西省,245,216,1,2020/3/2
