省,省确诊,省治愈,省死亡,日期
黑龙江省,43,0,1,2020/1/29
北京市,114,4,1,2020/1/29
陕西省,63,0,0,2020/1/29
四川省,142,1,1,2020/1/29
辽宁省,41,1,0,2020/1/29
贵州省,12,1,0,2020/1/29
广西壮族自治区,78,2,0,2020/1/29
浙江省,428,4,0,2020/1/29
山东省,158,1,0,2020/1/29
云南省,70,0,0,2020/1/29
海南省,46,1,1,2020/1/29
内蒙古自治区,18,0,0,2020/1/29
宁夏回族自治区,17,0,0,2020/1/29
甘肃省,26,0,0,2020/1/29
天津市,30,0,0,2020/1/29
重庆市,182,1,0,2020/1/29
江苏省,129,1,0,2020/1/29
河南省,278,2,2,2020/1/29
湖南省,277,2,0,2020/1/29
山西省,35,1,0,2020/1/29
河北省,65,0,1,2020/1/29
吉林省,14,1,0,2020/1/29
江西省,162,5,0,2020/1/29
新疆维吾尔自治区,14,0,0,2020/1/29
安徽省,200,2,0,2020/1/29
福建省,101,0,0,2020/1/29
青海省,8,0,0,2020/1/29
湖北省,5806,116,204,2020/1/30
广东省,436,10,0,2020/1/30
上海市,135,9,1,2020/1/30
黑龙江省,59,0,2,2020/1/30
北京市,139,5,1,2020/1/30
陕西省,87,0,0,2020/1/30
四川省,177,1,1,2020/1/30
辽宁省,48,1,0,2020/1/30
贵州省,29,2,0,2020/1/30
广西壮族自治区,87,2,0,2020/1/30
浙江省,538,11,0,2020/1/30
山东省,184,2,0,2020/1/30
云南省,83,1,0,2020/1/30
海南省,52,1,1,2020/1/30
内蒙古自治区,20,1,0,2020/1/30
宁夏回族自治区,21,0,0,2020/1/30
甘肃省,29,0,0,2020/1/30
天津市,32,0,0,2020/1/30
重庆市,211,1,0,2020/1/30
江苏省,168,5,0,2020/1/30
河南省,352,3,2,2020/1/30
湖南省,332,2,0,2020/1/30
山西省,39,1,0,2020/1/30
河北省,82,0,1,2020/1/30
吉林省,14,1,0,2020/1/30
江西省,240,7,0,2020/1/30
新疆维吾尔自治区,17,0,0,2020/1/30
安徽省,237,3,0,2020/1/30
福建省,120,0,0,2020/1/30
青海省,8,0,0,2020/1/30
湖北省,7153,168,249,2020/1/31
广东省,535,13,0,2020/1/31
上海市,169,10,1,2020/1/31
黑龙江省,80,2,2,2020/1/31
北京市,168,9,1,2020/1/31
陕西省,101,0,0,2020/1/31
四川省,207,3,1,2020/1/31
辽宁省,63,1,0,2020/1/31
广西壮族自治区,100,2,0,2020/1/31
浙江省,599,21,0,2020/1/31
山东省,206,3,0,2020/1/31
云南省,91,2,0,2020/1/31
海南省,62,1,1,2020/1/31
内蒙古自治区,23,1,0,2020/1/31
宁夏回族自治区,26,0,0,2020/1/31
甘肃省,35,0,0,2020/1/31
天津市,38,0,0,2020/1/31
重庆市,247,3,1,2020/1/31
江苏省,202,5,0,2020/1/31
河南省,422,3,2,2020/1/31
湖南省,389,8,0,2020/1/31
山西省,47,1,0,2020/1/31
河北省,96,0,1,2020/1/31
吉林省,17,1,0,2020/1/31
江西省,286,9,0,2020/1/31
新疆维吾尔自治区,18,0,0,2020/1/31
安徽省,297,4,0,2020/1/31
福建省,144,0,0,2020/1/31
青海省,9,0,0,2020/1/31
湖北省,9074,267,294,2020/2/1
广东省,632,15,0,2020/2/1
上海市,182,10,1,2020/2/1
黑龙江省,95,2,2,2020/2/1
北京市,191,9,1,2020/2/1
陕西省,116,0,0,2020/2/1
四川省,231,4,1,2020/2/1
辽宁省,69,1,0,2020/2/1
贵州省,38,2,0,2020/2/1
广西壮族自治区,111,2,0,2020/2/1
浙江省,661,32,0,2020/2/1
山东省,230,6,0,2020/2/1
云南省,105,3,0,2020/2/1
海南省,64,2,1,2020/2/1
内蒙古自治区,27,1,0,2020/2/1
宁夏回族自治区,28,0,0,2020/2/1
甘肃省,40,1,0,2020/2/1
天津市,48,1,0,2020/2/1
重庆市,275,7,1,2020/2/1
